id,frames,tone,principal_frames,economic,capacity_and_resources,morality,fairness_and_equality,legality_constitutionality_and_jurisprudence,policy_prescription_and_evaluation,crime_and_punishment,security_and_defense,health_and_safety,quality_of_life,cultural_identity,public_opinion,political,external_regulation_and_reputation
Noticia_1.txt,"['external_regulation_and_reputation', 'legality_constitutionality_and_jurisprudence', 'policy_prescription_and_evaluation', 'crime_and_punishment']",neutral,legality_constitutionality_and_jurisprudence,0,0,0,0,1,1,1,0,0,0,0,0,0,1
Noticia_2.txt,"['policy_prescription_and_evaluation', 'political', 'economic', 'morality', 'public_opinion', 'external_regulation_and_reputation']",neutral,political,1,0,1,0,0,1,0,0,0,0,0,1,1,1
Noticia_7.txt,"['political', 'quality_of_life', 'public_opinion']",neutral,political,0,0,0,0,0,0,0,0,0,1,0,1,1,0
Noticia_8.txt,"['policy_prescription_and_evaluation', 'public_opinion', 'external_regulation_and_reputation']",neutral,policy_prescription_and_evaluation,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Noticia_9.txt,"['external_regulation_and_reputation', 'quality_of_life', 'public_opinion', 'capacity_and_resources', 'fairness_and_equality', 'policy_prescription_and_evaluation']",negative,fairness_and_equality,0,1,0,1,0,1,0,0,0,1,0,1,0,1
Noticia_10.txt,"['external_regulation_and_reputation', 'political']",positive,external_regulation_and_reputation,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Noticia_11.txt,"['political', 'public_opinion']",neutral,political,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Noticia_12.txt,"['capacity_and_resources', 'policy_prescription_and_evaluation', 'cultural_identity', 'political', 'external_regulation_and_reputation', 'legality_constitutionality_and_jurisprudence', 'public_opinion']",negative,external_regulation_and_reputation,0,1,0,0,1,1,0,0,0,0,1,1,1,1
Noticia_23.txt,"['health_and_safety', 'cultural_identity']",negative,health_and_safety,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Noticia_24.txt,"['economic', 'cultural_identity', 'public_opinion', 'health_and_safety']",positive,economic,1,0,0,0,0,0,0,0,1,0,1,1,0,0
Noticia_25.txt,"['economic', 'policy_prescription_and_evaluation']",neutral,policy_prescription_and_evaluation,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Noticia_26.txt,"['policy_prescription_and_evaluation', 'quality_of_life', 'public_opinion']",positive,policy_prescription_and_evaluation,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Noticia_27.txt,['political'],neutral,political,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Noticia_28.txt,['economic'],positive,economic,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Noticia_29.txt,"['economic', 'health_and_safety', 'policy_prescription_and_evaluation']",positive,health_and_safety,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Noticia_32.txt,"['legality_constitutionality_and_jurisprudence', 'policy_prescription_and_evaluation', 'political']",neutral,policy_prescription_and_evaluation,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Noticia_33.txt,"['legality_constitutionality_and_jurisprudence', 'policy_prescription_and_evaluation', 'public_opinion', 'political']",neutral,policy_prescription_and_evaluation,0,0,0,0,1,1,0,0,0,0,0,1,1,0
Noticia_66.txt,"['capacity_and_resources', 'morality', 'health_and_safety', 'quality_of_life', 'public_opinion', 'security_and_defense']",neutral,health_and_safety,0,1,1,0,0,0,0,1,1,1,0,1,0,0
Noticia_67.txt,"['economic', 'capacity_and_resources', 'morality', 'health_and_safety', 'public_opinion']",positive,health_and_safety,1,1,1,0,0,0,0,0,1,0,0,1,0,0
Noticia_71.txt,['public_opinion'],neutral,other,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Noticia_72.txt,['crime_and_punishment'],negative,crime_and_punishment,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Noticia_3.txt,"['crime_and_punishment', 'legality_constitutionality_and_jurisprudence', 'fairness_and_equality', 'economic', 'public_opinion', 'external_regulation_and_reputation']",negative,external_regulation_and_reputation,1,0,0,1,1,0,1,0,0,0,0,1,0,1
Noticia_4.txt,"['political', 'legality_constitutionality_and_jurisprudence']",neutral,political,0,0,0,0,1,0,0,0,0,0,0,0,1,0
